Date,Sex,Team/ athlete 1 / country,Team/ athlete 2/ country,Sport,Event,Result,Type of result,Position,Qualify?,Record?,
08/03/2012,M,Mattias Lindfors,Finland,Sailing,Laser - Men's One Person Dinghy - Race 08,42,points,42,,,
08/03/2012,M,Mamadou Barry,Guinea,Athletics,Men's 1500m rd 1,04:05.1,metres,42,,,
08/03/2012,*,Kristy Oatley,Australia,Equestrian,Dressage Individual Grand Prix,68.222,points,42,,,
08/03/2012,W,Ingrid Yahoska Narvaez,Nicaragua,Athletics,Women's 400m rd 1,59.55,metres,42,,,
08/03/2012,M,Artem Dyatlov,Uzbekistan,Athletics,Men's 400m Hurdles rd 1,51.55,metres,42,,,
08/03/2012,M,Anton Rizov,Bulgaria,Shooting,50m Rifle Prone Men's Qualification,588,points,42,,,
08/03/2012,M,Vaclav Haman,Czech Republic,Shooting,50m Rifle Prone Men's Qualification,588,points,41,,,
08/03/2012,W,Paloma Schmidt,Peru,Sailing,Laser Radial - Women's One Person Dinghy - Race 08,41,points,41,,,
08/03/2012,M,Nabil Mohammed Al-Garbi,Yemen,Athletics,Men's 1500m rd 1,03:55.5,metres,41,,SB,
08/03/2012,W,Maziah Mahusin,Brunei Darussalam,Athletics,Women's 400m rd 1,59.28,metres,41,,NR,
08/03/2012,W,Kerri-Ann Mitchell,Canada,Athletics,Women's 100m rd 1,11.49,metres,41,,,
08/03/2012,M,Keerati Bualong,Thailand,Sailing,Laser - Men's One Person Dinghy - Race 07,41,points,41,,,
08/03/2012,M,Jorge Paula,Portugal,Athletics,Men's 400m Hurdles rd 1,51.4,metres,41,,,
08/03/2012,M,Jian Shi,China,Sailing,Laser - Men's One Person Dinghy - Race 08,41,points,41,,,
08/03/2012,*,Jacqueline Brooks,Canada,Equestrian,Dressage Individual Grand Prix,68.526,points,41,,,
08/03/2012,W,Farida Osman,Egypt,Swimming,Women's 50m Freestyle Heats,26.34,time,41,,,
08/03/2012,M,Youssef Akrout,Tunisia,Sailing,Laser - Men's One Person Dinghy - Race 07,40,points,40,,,
08/03/2012,W,Yongli Wei,China,Athletics,Women's 100m rd 1,11.48,metres,40,,,
08/03/2012,M,Vincent Kiplangat Kosgei,Kenya,Athletics,Men's 400m Hurdles rd 1,50.8,metres,40,,,
08/03/2012,M,Vardan Pahlevanyan,Armenia,Athletics,Men's Long Jump Qualifying Rounds,6.55,metres,40,,,
08/03/2012,M,Samuel Vazquez,Puerto Rico,Athletics,Men's 1500m rd 1,03:49.2,metres,40,,,
08/03/2012,M,Ricardo Montemayor,Mexico,Sailing,Laser - Men's One Person Dinghy - Race 08,40,points,40,,,
08/03/2012,W,Mayumi Roller,Vgb,Sailing,Laser Radial - Women's One Person Dinghy - Race 08,40,points,40,,,
08/03/2012,*,Hiroshi Hoketsu,Japan,Equestrian,Dressage Individual Grand Prix,68.739,points,40,,,
08/03/2012,W,Graciela Martins,Guinea-Bissau,Athletics,Women's 400m rd 1,58.3,metres,40,,,
08/03/2012,W,Chinyere Pigot,Suriname,Swimming,Women's 50m Freestyle Heats,26.3,time,40,,,
08/03/2012,M,Bayaraa Nyantai,Mongolia,Shooting,50m Rifle Prone Men's Qualification,588,points,40,,,
08/03/2012,M,Wen Cheng,China,Athletics,Men's 400m Hurdles rd 1,50.38,metres,39,,,
08/03/2012,W,Nataliya Pohrebnyak,Ukraine,Athletics,Women's 100m rd 1,11.46,metres,39,,,
08/03/2012,M,Jozef Gonci,Slovakia,Shooting,50m Rifle Prone Men's Qualification,589,points,39,,,
08/03/2012,*,Jose Daniel Martin Dockx,Spa,Equestrian,Dressage Individual Grand Prix,69.043,points,39,,,
08/03/2012,M,Ilia Ignatev,Kir,Sailing,Laser - Men's One Person Dinghy - Race 07,39,points,39,,,
08/03/2012,W,Helema Williams,Cook Islands,Sailing,Laser Radial - Women's One Person Dinghy - Race 08,39,points,39,,,
08/03/2012,W,Helema Williams,Cook Islands,Sailing,Laser Radial - Women's One Person Dinghy - Race 07,39,points,39,,,
08/03/2012,M,George Kitchens,United States,Athletics,Men's Long Jump Qualifying Rounds,6.84,metres,39,,,
08/03/2012,W,Gabriela Nikitina,Latvia,Swimming,Women's 50m Freestyle Heats,26.26,time,39,,,
08/03/2012,W,Danielle Alakija,Fiji,Athletics,Women's 400m rd 1,56.77,metres,39,,,
08/03/2012,M,Ciaran O'lionaird,Ireland,Athletics,Men's 1500m rd 1,03:48.3,metres,39,,SB,
08/03/2012,M,Andrey Quintero,Colombia,Sailing,Laser - Men's One Person Dinghy - Race 08,39,points,39,,,
08/03/2012,M,Suhrob Khodjaev,Uzbekistan,Athletics,Men's Hammer Throw Qualifying Rounds,65.88,metres,38,,,
08/03/2012,W,Sara Carmo,Portugal,Sailing,Laser Radial - Women's One Person Dinghy - Race 08,38,points,38,,,
08/03/2012,M,Roman Novotny,Czech Republic,Athletics,Men's Long Jump Qualifying Rounds,6.96,metres,38,,,
08/03/2012,M,Mohamed Mohamed,Somalia,Athletics,Men's 1500m rd 1,03:46.2,metres,38,,,
08/03/2012,W,Miroslava Syllabova,Slovakia,Swimming,Women's 50m Freestyle Heats,26.07,time,38,,,
08/03/2012,M,Milivoj Dukic,Mne,Sailing,Laser - Men's One Person Dinghy - Race 08,38,points,38,,,
08/03/2012,W,Louise Hazel,United Kingdom,Athletics,Women's Heptathlon High Jump,1.59,metres,38,,,
08/03/2012,M,Khairulnizam Mohd Afendy,Malaysia,Sailing,Laser - Men's One Person Dinghy - Race 07,38,points,38,,,
08/03/2012,*,Katarzyna Milczarek,Poland,Equestrian,Dressage Individual Grand Prix,69.271,points,38,,,
08/03/2012,W,Katarina Johnson-Thompson,United Kingdom,Athletics,Women's Heptathlon Shot Put,11.32,metres,38,,,
08/03/2012,W,Ivona Dadic,Austria,Athletics,Women's Heptathlon 100m Hurdles,14.58,metres,38,,PB,
08/03/2012,M,Cory Niefer,Canada,Shooting,50m Rifle Prone Men's Qualification,589,points,38,,,
08/03/2012,W,Andreea Ograzeanu,Rou,Athletics,Women's 100m rd 1,11.44,metres,38,,,
08/03/2012,W,Andrea Foglia Costa,Uruguay,Sailing,Laser Radial - Women's One Person Dinghy - Race 07,38,points,38,,,
08/03/2012,W,Afia Charles,Antigua and Barbuda,Athletics,Women's 400m rd 1,54.25,metres,38,,,
08/03/2012,M,Zhilong Li,China,Athletics,Men's 400m Hurdles rd 1,50.36,metres,37,,,
08/03/2012,M,Viacheslav Sakaev,Russian Federation,Athletics,Men's 400m Hurdles rd 1,50.36,metres,37,,,
08/03/2012,W,Sara Aerts,Belgium,Athletics,Women's Heptathlon,2751,metres,37,,,
08/03/2012,W,Sara Aerts,Belgium,Athletics,Women's Heptathlon High Jump,1.65,metres,37,,SB,
08/03/2012,M,Mohamed Fathalla Difallah,Egypt,Athletics,Men's Long Jump Qualifying Rounds,7.08,metres,37,,,
08/03/2012,M,Maik Eckhardt,Germany,Shooting,50m Rifle Prone Men's Qualification,589,points,37,,,
08/03/2012,*,Lyndal Oatley,Australia,Equestrian,Dressage Individual Grand Prix,69.377,points,37,,,
08/03/2012,M,Keerati Bualong,Thailand,Sailing,Laser - Men's One Person Dinghy - Race 08,37,points,37,,,
08/03/2012,W,Katerina Cechova,Czech Republic,Athletics,Women's 100m rd 1,11.43,metres,37,,,
08/03/2012,W,Julia Machtig,Germany,Athletics,Women's Heptathlon 100m Hurdles,14.54,metres,37,,,
08/03/2012,M,Jamale Aarrass,France,Athletics,Men's 1500m rd 1,03:45.1,metres,37,,,
08/03/2012,W,Irina Karpova,Kazakhstan,Athletics,Women's Heptathlon Shot Put,11.68,metres,37,,,
08/03/2012,W,Beth Lygoe,Saint Lucia,Sailing,Laser Radial - Women's One Person Dinghy - Race 08,37,points,37,,,
08/03/2012,W,Beth Lygoe,Saint Lucia,Sailing,Laser Radial - Women's One Person Dinghy - Race 07,37,points,37,,,
08/03/2012,M,Andrey Quintero,Colombia,Sailing,Laser - Men's One Person Dinghy - Race 07,37,points,37,,,
08/03/2012,W,Ambwene Simukonda,Malawi,Athletics,Women's 400m rd 1,54.2,metres,37,,NR,
08/03/2012,W,Alia Atkinson,Jamaica,Swimming,Women's 50m Freestyle Heats,25.98,time,37,,,
08/03/2012,M,Alexandros Papadimitriou,Greece,Athletics,Men's Hammer Throw Qualifying Rounds,67.19,metres,37,,,
08/03/2012,M,Adriatik Hoxha,Albania,Athletics,Men's Shot Put Qualifying Rounds,17.58,metres,37,,,
08/03/2012,M,Abdelaziz Merzougui,Spa,Athletics,Men's 3000m Steeplechase rd 1,08:58.2,metres,37,,,
08/03/2012,M,Xiaoyi Zhang,China,Athletics,Men's Long Jump Qualifying Rounds,7.25,metres,36,,,
08/03/2012,M,Valeriy Kudryashov,Ukraine,Sailing,Laser - Men's One Person Dinghy - Race 07,36,points,36,,,
08/03/2012,M,Valeriy Kudryashov,Ukraine,Sailing,Laser - Men's One Person Dinghy - Race 08,36,points,36,,,
08/03/2012,W,Trudi Maree,South Africa,Swimming,Women's 50m Freestyle Heats,25.78,time,36,,,
08/03/2012,W,Phumlile Ndzinisa,Swaziland,Athletics,Women's 400m rd 1,53.95,metres,36,,,
08/03/2012,M,Odinn Bjorn Thorsteinsson,Icl,Athletics,Men's Shot Put Qualifying Rounds,17.62,metres,36,,,
08/03/2012,W,Marta Jeschke,Poland,Athletics,Women's 100m rd 1,11.42,metres,36,,,
08/03/2012,M,Mario Bazan,Peru,Athletics,Men's 3000m Steeplechase rd 1,08:52.0,metres,36,,,
08/03/2012,M,Marco De Nicolo,Italy,Shooting,50m Rifle Prone Men's Qualification,589,points,36,,,
08/03/2012,W,Karolina Tyminska,Poland,Athletics,Women's Heptathlon High Jump,1.68,metres,36,,,
08/03/2012,M,Juan Ignacio Cerra,Argentina,Athletics,Men's Hammer Throw Qualifying Rounds,68.2,metres,36,,,
08/03/2012,W,Irina Karpova,Kazakhstan,Athletics,Women's Heptathlon,3268,metres,36,,,
08/03/2012,W,Hyleas Fountain,United States,Athletics,Women's Heptathlon Shot Put,11.99,metres,36,,,
08/03/2012,W,Gyorgyi Farkas,Hungary,Athletics,Women's Heptathlon 100m Hurdles,14.33,metres,36,,,
08/03/2012,*,Beata Stremler,Poland,Equestrian,Dressage Individual Grand Prix,69.422,points,36,,,
08/03/2012,W,Anna Pohlak,Estonia,Sailing,Laser Radial - Women's One Person Dinghy - Race 08,36,points,36,,,
08/03/2012,W,Anna Pohlak,Estonia,Sailing,Laser Radial - Women's One Person Dinghy - Race 07,36,points,36,,,
08/03/2012,M,Andreas Vojta,Austria,Athletics,Men's 1500m rd 1,03:43.5,metres,36,,,
08/03/2012,W,Yayoi Matsumoto,Japan,Swimming,Women's 50m Freestyle Heats,25.73,time,35,,,
08/03/2012,M,Stuart Stokes,United Kingdom,Athletics,Men's 3000m Steeplechase rd 1,08:43.0,metres,35,,,
08/03/2012,W,Sofia Ifadidou,Greece,Athletics,Women's Heptathlon,3364,metres,35,,,
08/03/2012,M,Michele Regolo,Italy,Sailing,Laser - Men's One Person Dinghy - Race 08,35,points,35,,,
08/03/2012,M,Mergen Mamedov,Turkmenistan,Athletics,Men's Hammer Throw Qualifying Rounds,68.39,metres,35,,,
08/03/2012,W,Mayumi Roller,Vgb,Sailing,Laser Radial - Women's One Person Dinghy - Race 07,35,points,35,,,
08/03/2012,M,Josef Prorok,Czech Republic,Athletics,Men's 400m Hurdles rd 1,50.33,metres,35,,,
08/03/2012,M,Javier Lopez,Spa,Shooting,50m Rifle Prone Men's Qualification,589,points,35,,,
08/03/2012,W,Ivona Dadic,Austria,Athletics,Women's Heptathlon Shot Put,12.19,metres,35,,,
08/03/2012,W,Irina Karpova,Kazakhstan,Athletics,Women's Heptathlon 100m Hurdles,14.21,metres,35,,,
08/03/2012,M,Emanuele Fuamatu,Samoa,Athletics,Men's Shot Put Qualifying Rounds,17.78,metres,35,,,
08/03/2012,M,Eduar Villanueva,"Venezuela, Bolivarian Republic Of",Athletics,Men's 1500m rd 1,03:43.1,metres,35,,,
08/03/2012,W,Chantae Mcmillan,United States,Athletics,Women's Heptathlon High Jump,1.68,metres,35,,,
08/03/2012,W,Cecilia Carranza Saroli,Argentina,Sailing,Laser Radial - Women's One Person Dinghy - Race 08,35,points,35,,,
08/03/2012,M,Boniface Mucheru,Kenya,Athletics,Men's 400m Hurdles rd 1,50.33,metres,35,,,
08/03/2012,M,Boleslav Skhirtladze,Georgia,Athletics,Men's Long Jump Qualifying Rounds,7.26,metres,35,,,
08/03/2012,M,Andrew Lewis,Trinidad and Tobago,Sailing,Laser - Men's One Person Dinghy - Race 07,35,points,35,,,
08/03/2012,*,Adrienne Lyle,United States,Equestrian,Dressage Individual Grand Prix,69.468,points,35,,,
08/03/2012,W,Aauri Lorena Bokesa,Spa,Athletics,Women's 400m rd 1,53.67,metres,35,,,
08/03/2012,M,Viktor Teply,Czech Republic,Sailing,Laser - Men's One Person Dinghy - Race 08,34,points,34,,,
08/03/2012,W,Sarah Cowley,New Zealand,Athletics,Women's Heptathlon Shot Put,12.37,metres,34,,,
08/03/2012,*,Renate Voglsang,Austria,Equestrian,Dressage Individual Grand Prix,69.635,points,34,,,
08/03/2012,M,Qinan Zhu,China,Shooting,50m Rifle Prone Men's Qualification,590,points,34,,,
08/03/2012,M,Oleksandr Dryhol,Ukraine,Athletics,Men's Hammer Throw Qualifying Rounds,69.57,metres,34,,,
08/03/2012,W,Nufar Edelman,Israel,Sailing,Laser Radial - Women's One Person Dinghy - Race 07,34,points,34,,,
08/03/2012,W,Marina Maslenko,Kazakhstan,Athletics,Women's 400m rd 1,53.66,metres,34,,,
08/03/2012,W,Louise Hazel,United Kingdom,Athletics,Women's Heptathlon,3427,metres,34,,,
08/03/2012,M,L J Van Zyl,South Africa,Athletics,Men's 400m Hurdles rd 1,50.31,metres,34,,,
08/03/2012,W,Julia Machtig,Germany,Athletics,Women's Heptathlon High Jump,1.68,metres,34,,,
08/03/2012,M,Jose Ruiz Durango,"Venezuela, Bolivarian Republic Of",Sailing,Laser - Men's One Person Dinghy - Race 07,34,points,34,,,
08/03/2012,W,Ida Marcussen,Norway,Athletics,Women's Heptathlon 100m Hurdles,14.08,metres,34,,,
08/03/2012,M,Emad Noor,Saudi Arabia,Athletics,Men's 1500m rd 1,03:42.9,metres,34,,,
08/03/2012,M,Carlos Veliz,Cuba,Athletics,Men's Shot Put Qualifying Rounds,18.57,metres,34,,,
08/03/2012,W,Burcu Dolunay,Turkey,Swimming,Women's 50m Freestyle Heats,25.72,time,34,,,
08/03/2012,M,Artem Kosinov,Kazakhstan,Athletics,Men's 3000m Steeplechase rd 1,08:42.3,metres,34,,,
08/03/2012,W,Anna Agrafioti,Greece,Sailing,Laser Radial - Women's One Person Dinghy - Race 08,34,points,34,,,
08/03/2012,M,Youssef Akrout,Tunisia,Sailing,Laser - Men's One Person Dinghy - Race 08,33,points,33,,,
08/03/2012,M,Teklit Teweldebrhan,Eritrea,Athletics,Men's 1500m rd 1,03:42.9,metres,33,,,
08/03/2012,M,Supanara Sukhasvasti N A,Thailand,Athletics,Men's Long Jump Qualifying Rounds,7.38,metres,33,,,
08/03/2012,M,Steffen Uliczka,Germany,Athletics,Men's 3000m Steeplechase rd 1,08:41.1,metres,33,,,
08/03/2012,W,Paloma Schmidt,Peru,Sailing,Laser Radial - Women's One Person Dinghy - Race 07,33,points,33,,,
08/03/2012,W,Olesea Cojuhari,Mol,Athletics,Women's 400m rd 1,53.64,metres,33,,,
08/03/2012,M,Midori Yajima,Japan,Shooting,50m Rifle Prone Men's Qualification,590,points,33,,,
08/03/2012,M,Jian Shi,China,Sailing,Laser - Men's One Person Dinghy - Race 07,33,points,33,,,
08/03/2012,W,Ida Marcussen,Norway,Athletics,Women's Heptathlon,3428,metres,33,,,
08/03/2012,W,Grit Sadeiko,Estonia,Athletics,Women's Heptathlon Shot Put,12.43,metres,33,,,
08/03/2012,W,Eliska Klucinova,Czech Republic,Athletics,Women's Heptathlon 100m Hurdles,14.01,metres,33,,PB,
